X	Y	Z	Layer
-114.653041	-13.099373	442.744394	0
-114.135831	-13.099409	442.743140	0
-113.619173	-13.077086	442.748905	0
-113.102706	-13.050287	442.756076	0
-112.586235	-13.023542	442.763233	0
-112.069080	-13.020798	442.763152	0
-111.551869	-13.020016	442.762479	0
-111.034666	-13.022050	442.760428	0
-110.518016	-13.042590	442.749322	0
-110.001414	-13.064722	442.737437	0
-109.484388	-13.074933	442.728811	0
-108.967942	-13.049058	442.730066	0
-108.451552	-13.019978	442.732200	0
-107.934706	-13.000806	442.733621	0
-107.417523	-12.999197	442.733781	0
-106.900310	-12.999195	442.733824	0
-106.383113	-12.999090	442.737515	0
-105.865961	-12.998867	442.745343	0
-105.348814	-12.998633	442.753557	0
-104.831618	-12.996411	442.756356	0
-104.314422	-12.992704	442.755113	0
-103.797226	-12.988860	442.753495	0
-103.280457	-12.969609	442.745972	0
-102.764045	-12.942870	442.735579	0
-102.247668	-12.915477	442.724935	0
-101.730581	-12.908870	442.719316	0
-101.213387	-12.908489	442.715202	0
-100.696190	-12.908558	442.711197	0
-100.179530	-12.930589	442.715426	0
-99.662978	-12.956125	442.720970	0
-99.146247	-12.977774	442.726153	0
-98.629797	-12.954684	442.726854	0
-98.113385	-12.925916	442.726986	0
-97.596825	-12.900177	442.723990	0
-97.080061	-12.886567	442.708492	0
-96.563273	-12.874530	442.691372	0
-96.046520	-12.859551	442.675571	0
-95.529917	-12.838192	442.662633	0
-95.013334	-12.815996	442.650071	0
-94.496209	-12.810641	442.647967	0
-93.979507	-12.828009	442.659972	0
-93.462879	-12.848314	442.673801	0
-92.945946	-12.862323	442.682921	0
-92.428830	-12.870697	442.687827	0
-91.911693	-12.878362	442.692204	0
-91.394747	-12.864780	442.696760	0
-90.878236	-12.838527	442.701419	0
-90.361788	-12.810807	442.706091	0
-89.844726	-12.801165	442.709163	0
-89.327528	-12.798611	442.711609	0
-88.810325	-12.796736	442.713994	0
-88.293115	-12.797037	442.714114	0
-87.775903	-12.797864	442.713687	0
-87.258692	-12.798692	442.712931	0
-86.741530	-12.798997	442.706189	0
-86.224376	-12.799212	442.698422	0
-85.707222	-12.799428	442.690643	0
-85.190070	-12.799648	442.682813	0
-84.672917	-12.799869	442.674973	0
-84.155718	-12.798347	442.672803	0
-83.638750	-12.792122	442.685951	0
-83.121827	-12.785081	442.701751	0
-82.604801	-12.774942	442.710637	0
-82.087846	-12.759623	442.707958	0
-81.570909	-12.743424	442.703310	0
-81.053945	-12.741236	442.689290	0
-80.537525	-12.754569	442.664905	0
-80.021214	-12.770427	442.638834	0
-79.504342	-12.765087	442.624537	0
-78.987632	-12.743784	442.619126	0
-78.470978	-12.720107	442.615037	0
-77.953920	-12.709263	442.616344	0
-77.436745	-12.705070	442.620446	0
-76.919563	-12.701712	442.624899	0
-76.402623	-12.702817	442.610698	0
-75.885834	-12.705475	442.590004	0
-75.369065	-12.708263	442.568770	0
-74.852556	-12.687653	442.573979	0
-74.336106	-12.661861	442.585044	0
-73.819721	-12.634050	442.593926	0
-73.304451	-12.591133	442.586407	0
-72.789431	-12.544878	442.575264	0
-72.273780	-12.505770	442.566961	1
-71.756920	-12.490740	442.568215	1
